nを切り捨てながらn2分の一にする	n //= n2
折れ線グラフの色をデピンクに設定する	plt.plot(データ列x, データ列y, color='deeppink')
ペルー色のヒストグラムを描画する	plt.hist(データ列, color='peru')
イテラブルのそれぞれを関数でフィルタする	map(func, iterable)
データフレームは何行重複するか見る	df.duplicated().sum()
データシリーズの欠損値を最頻値に設定する	ds.fillna(ds.mode().iloc[0])
option: グラフの色をライトグレーに設定する	color = 'lightgray'
散布図のマーカーをバツにする	plt.scatter(データ列x, データ列y, marker='x')
データフレームの指定したカラムを丸める	df['列A'].round()
散布図をディムグレー色で描画する	plt.scatter(データ列x, データ列y, color='dimgray')
スプリンググリーン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='springgreen')
オーキッド色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='orchid')
何回まで再帰ができるかを	sys.getrecursionlimit()
ライトブルー色のヒストグラムを描画する	plt.hist(データ列, color='lightblue')
option: グラフの色をコーンズシルクに設定する	color = 'cornsilk'
散布図の下三角マーカーを赤くする	plt.scatter(データ列x, データ列y, marker='v', markerfacecolor='r')
横棒グラフの色をホワイトスモークにする	plt.barh(データ列x, データ列y, color='whitesmoke')
データシリーズの不偏標準偏差	ds.std()
横棒グラフの色をサーモンにする	plt.barh(データ列x, データ列y, color='salmon')
データ列を三つ並べてヒストグラムにする	plt.hist([データ列, データ列, データ列], color=['b', 'r', 'g'])
散布図をスノー色で描画する	plt.scatter(データ列x, データ列y, color='snow')
option: マーカーの色をレベッカパープルにする	markerfacecolor = 'rebeccapurple'
データフレームのカラムの尖度を求める	scipy.stats.kurtosis(df['列A'], bias=False)
棒グラフの色をホットピンクにする	plt.bar(データ列x, データ列y, color='hotpink')
箱ひげ図を二つ並べて描画する	plt.boxplot([データ列, データ列])
データフレームの不偏標準偏差	df.std()
文字列中の小文字を大文字に変換する	s.upper()
option: マーカーの色をライトスチールブルーにする	markerfacecolor = 'lightsteelblue'
ヒストグラムをミディアムオーキッド色で描画する	plt.hist(データ列, color='mediumorchid')
ガウス過程でクラス分類を行う	model = sklearn.gaussian_process.GaussianProcessClassifier()
説明変数と目的変数でモデルを学習する	model.fit(説明変数, 目的変数)
棒グラフをミントクリーム色で描画する	plt.bar(データ列x, データ列y, color='mintcream')
データフレームを関数の値によってグループ化して、列挙する	[(name, group_df) for name, group_df in df.groupby(関数)]
nをn2倍にする	n *= n2
折れ線グラフに赤い左三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='<', markerfacecolor='r')
文字列中の部分文字列をカウントする	s.count(sub)
文字列の先頭から部分文字列を探す	s.find(sub)
データフレームの指定したカラムを万の位で丸める	df['列A'].round(-4)
ヒストグラムの色をオーキッドに設定する	plt.hist(データ列, color='orchid')
文字列は全て数値か調べる	s.isnumeric()
ゴーストホワイト色の散布図を描画する	plt.scatter(データ列x, データ列y, color='ghostwhite')
タイタニック号のデータセットをロードする	df = sns.load_dataset('titanic')
二つのデータフレームを横方向に連結する	pd.concat([df, df2], axis=1)
文字列に漢字が含まれるか調べる	re.search('[\u4E00-\u9FD0]', s)
ピーチパフ色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='peachpuff')
折れ線グラフの色をパールバイオレットレッドに設定する	plt.plot(データ列x, データ列y, color='palevioletred')
グリッドを実線にする	plt.grid(linestyle='solid')
ヒストグラムの色をコーラルに設定する	plt.hist(データ列, color='coral')
ライムグリーン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='limegreen')
文字列を赤色でプリントする	print(f'\033[31m{value}\033[0m')
シルバー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='silver')
横棒グラフの色をピンクにする	plt.barh(データ列x, データ列y, color='pink')
折れ線グラフの色を青紫に設定する	plt.plot(データ列x, データ列y, color='violet')
xが一桁の数か調べる	-9 <= x <= 9
タプルのn番目からn2番目までの部分	aTuple[n:n2]
二つのデータフレームをジョインする	pd.merge(df, df2)
データフレームの指定したカラムを百の位で丸めて、整数型にする	df['列A'].round(-2).astype(int)
option: グラフの色をパープルに設定する	color = 'purple'
イテラブルとイテラブルの直積	itertools.product(iterable, iterable2)
散布図の下三角マーカーを黒くする	plt.scatter(データ列x, データ列y, marker='v', markerfacecolor='k')
option: グラフの色をアンティークホワイトに設定する	color = 'antiquewhite'
折れ線グラフに黒い丸マーカーを描画する	plt.plot(データ列x, データ列y, marker='o', markerfacecolor='k')
縦軸の目盛を整数のみにする	plt.yticks(np.arange(最小値, 最大値, 間隔))
二つのデータフレームを連結する	pd.concat([df, df2])
棒グラフをサーモン色で描画する	plt.bar(データ列x, データ列y, color='salmon')
option: マーカーの色を黄色にする	markerfacecolor = 'yellow'
シルバー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='silver')
散布図の色をダークグレーにする	plt.scatter(データ列x, データ列y, color='darkgray')
nが正の数か調べる	n > 0
ホットピンク色の散布図を描画する	plt.scatter(データ列x, データ列y, color='hotpink')
横棒グラフをオリベドラブ色で描画する	plt.barh(データ列x, データ列y, color='olivedrab')
カーキ色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='khaki')
黄色い横棒グラフを描画する	plt.barh(データ列x, データ列y, color='y')
棒グラフの色をゴールドにする	plt.bar(データ列x, データ列y, color='gold')
ブルーバイオレット色の線グラフを描画する	plt.plot(データ列x, データ列y, color='blueviolet')
散布図の丸マーカーの大きさを変更する	plt.scatter(データ列x, データ列y, marker='o', markersize=2.0)
ダークシアグリーン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='darkseagreen')
n進文字列を整数に変換する	int(s, n)
イエローグリーン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='yellowgreen')
パウダーブルー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='powderblue')
option: インディゴ色を使う	color = 'indigo'
横棒グラフの色をゲインズボロにする	plt.barh(データ列x, データ列y, color='gainsboro')
黄色いヒストグラムを描画する	plt.hist(データ列, color='y')
行列の演算をする	import numpy as np
ロッソ回帰分析の準備をする	model = sklearn.linear_model.Rosso(alpha=正則化項)
全ての句読点文字	string.punctuation
option: グラフの色をパパイヤウィップに設定する	color = 'papayawhip'
ゼロ埋めされた配列	np.zeros(要素数)
オプションで、標準エラーに出力する	file = sys.stderr
サーモン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='salmon')
フォレストグリーン色のヒストグラムを描画する	plt.hist(データ列, color='forestgreen')
クラス分類の適合率を求める	sklearn.metrics.precision_score(正解データ列, 予測データ列)
