折れ線の線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n)
値は集合のメンバーかどうか	element in aSet
タイムスタンプデータが土曜日	aDatetime.weekday() == 5
キュー中の数値のインデックス	deq.index(element)
リストとリストについての散布図を淡い色で描画する	plt.plot(xdata, ydata, c='muted')
データフレームの列の未入力値を最小値に設定する	df[col].fillna(df[col].min())
＜オプション＞オリーブにグラフの色を設定する	color = 'olive'
折れ線グラフの色をインディゴに変更する	plt.plot(データ列, データ列2, color='indigo')
横棒グラフの色をカラーコードにする	plt.barh(ラベル列, データ列, color=rgb)
データフレームを表示するとき、折り返しをオフに設定する	pd.set_option('expand_frame_repr', False)
折れ線グラフを描画して、その色をオールドレースに指定する	plt.plot(データ列, データ列2, color='oldlace')
二つのオブジェクトが等しいか調べる	obj == obj2
データフレームのリストカラムの分散を求める	df[aList].var()
折れ線グラフを描画して色をパープルに変更する	plt.plot(データ列, データ列2, color='purple')
線グラフを描画して、その色をロージーブラウンに設定する	plt.plot(データ列, データ列2, color='rosybrown')
二つの集合が共通の要素を持たないかどうかテストする	aSet.isdisjoint(aSet2)
＜オプション＞改行コードをUNIXに設定する	newline = '\n'
データフレームのカラムのモード	df[col].mode()
データフレームをJSONLファイルに保存する	df.to_csv(filename, sep='\t')
文字列中に部分文字列がいくつか存在するかカウントする	s.count(sub)
タプルからキーの値をエラーなく得る	aDict.get(key, None)
要素一つのタプルを得る	(element,)
イテラブルを文字列リストに変換して、タブによってつなげる	'\t'.join(map(str, iterable))
整数nの16進表現を見る	hex(n)
イテラブルから重複なく、n個ランダムに選ぶ	random.sample(iterable, k=n)
マッピングに要素をキーとして加える	aDict[key] = element
'A'列の値でデータフレームをグループ化して列挙する	[(name, group) for name, group in df.groupby('A')]
データ列を折れ線グラフに描画してマーカーを▽印にする	plt.plot(データ列, データ列2, marker='v')
データ列の値がNaN	ds.isna()
リストの合計値	sum(aList)
データフレームのどの値が頻出か確認する	df.mode()
濃いを描画し、、線幅をnに変更する	plt.plot(xdata, ydata, linestyle='deep', color=rgb)
＜オプション＞ディープスカイブルーにグラフの色を変更する	color = 'deepskyblue'
データ列が何時か調べる	ds.dt.hour
イテラブルとリストについての散布図に黒い丸マーカーを描画する	plt.plot(xdata, ydata, marker='o', c='k')
配列の行ごとの平均	np.mean(aArray, axis=1)
データ列の中に文字列が存在するかどうか	ds.isin([value])
リストとリストについての散布図にダイアモンドマーカーを描画する	plt.plot(xdata, ydata, marker='D')
文字列内にひとつでも英字が含まれるかどうか	any(c.isalpha() for c in s)
データフレームのリストカラムの欠損値を平均値に設定する	df[aList].fillna(df[aList].mean())
既存のファイルをEUCで追加できるようにオープンする]	open(filepath, mode='a', encoding='euc_jp')
折れ線グラフの色をチョコレートに設定する	plt.plot(データ列, データ列2, color='chocolate')
配列を平坦化する	aArray.flatten()
両端キューの要素を右にn個分ローテンションする	deq.rotate(n)
＜オプション＞ラベンダーにグラフの色を設定する	color = 'lavender'
＜オプション＞グリーンイエローにグラフの色を指定する	color = 'greenyellow'
保存するカンマ区切りのファイルの小数点以下の桁数を設定する	df.to_csv(filename, float_format='%.3f')
線グラフを描画して、色をダークスラテグレーに設定する	plt.plot(データ列, データ列2, color='darkslategray')
列の分散	ds.var()
折れ線グラフを描画して、色を茶色に指定する	plt.plot(データ列, データ列2, color='brown')
オブジェクトは数値か調べる	isinstance(obj, (int,float))
文字列の中の複数行対応として正規表現によるすべてのマッチを見る	re.findall(pattern, s, flags=re.MULTILINE)
データフレームの列と列の相関行列をヒートマップで描画する	sns.heatmap(df[[column, column2]].corr())
整数をゼロ埋めした文字列にする	str(n).zfill(文字列幅)
ヒストグラムの色をダークゴールデンロッドに設定する	plt.hist(データ列, color='darkgoldenrod')
＜オプション＞ホットピンクにグラフの色をセットする	color = 'hotpink'
折れ線グラフのマーカーを▲にする	plt.plot(データ列, データ列2, marker='^')
折れ線グラフにサイズnの三角マーカーを描画する	plt.plot(データ列, データ列2, marker='^', markersize=n)
日付時刻データは何月か知る	aDatetime.month
折れ線グラフの大バツマーカーの大きさをnに設定する	plt.plot(データ列, データ列2, marker='X', markersize=n)
折れ線グラフにポイントマーカーを使う	plt.plot(データ列, データ列2, marker='.')
折れ線グラフの色をライトブルーに変更する	plt.plot(データ列, データ列2, color='lightblue')
柱状図の描画して正規化する	plt.hist(データ列, density=True)
イテラブルとデータ列についての散布図に文字列というデータラベル用のラベルを付ける	plt.scatter(xdata, xdata, label=s)
マップの項目名一覧を得る	list(aDict)
データフレームは正規分布からどの程度尖っているか見る	df.skew()
データフレームのリスト列を100の位で丸めて整数型にする	df[aList].round(-2).astype(int)
実線にヒストグラムの線のスタイルを設定する	plt.hist(データ列, linestyle='solid')
辞書のキーの一覧	aDict.keys()
辞書のキーとその値をペアとして取り出す	aDict.items()
リストとデータ列を用いてパステル調のを描画してその線幅をnに設定する	plt.plot(xdata, ydata, linestyle='pastel', color='r')
＜オプション＞ディープスカイブルー色を使う	color = 'deepskyblue'
データフレームを複数の列によってソートして、更新する	df.sort_values(by=column, inplace=True)
ダークシアグリーン色のヒストグラムを描画する	plt.hist(データ列, color='darkseagreen')
リストの移り変わりを折れ線にプロットする	plt.plot(range(len(xdata)), xdata)
タプルのコピー	dict(aDict)
線グラフを描画して、色をライトグレーに設定する	plt.plot(データ列, データ列2, color='lightgrey')
折れ線グラフの色をスラグレーに設定する	plt.plot(データ列, データ列2, color='slategrey')
実行結果を青色でプリントできる文字列にする	f'\033[34m{value}\033[0m'
日付時刻データが火曜日か確認する	aDatetime.weekday() == 1
要素はマップの値として含まれている	element in aDict.values()
＜オプション＞グリーンイエロー色を使う	color = 'greenyellow'
表データを複数の列によってによって破壊的に並べる	df.sort_values(by=column, inplace=True)
整数nをn2分の一にする	n //= n2
折れ線グラフの右三角マーカーを赤くする	plt.plot(データ列, データ列2, marker='>', markerfacecolor='r')
線グラフの色をブランチドアーモンドに設定する	plt.plot(データ列, データ列2, color='blanchedalmond')
折れ線グラフを描画して、その色をオレンジレッドに指定する	plt.plot(データ列, データ列2, color='orangered')
