option: 赤色を使う	color = 'red'
横棒グラフをベージュ色として描画する	plt.barh(データ列x, データ列y, color='beige')
option: ダークシアグリーン色を使う	color = 'darkseagreen'
データフレームの選択したカラムの平均値	df[['列A', '列B']].mean()
option: マーカーをバツに指定する	marker = 'x'
nが負の数か調べる	n < 0
カウンタの上位を列挙する	aCounter.most_common(k)
ペールグリーン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='palegreen')
辞書のキーに対応した値	aDict.get(key)
集合からエラーなく要素を取り除く	aSet.discard(element)
ライトスレイグレー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='lightslategray')
文字列が文字列より辞書順で前か調べる	s < s2
画面用にプロットを設定する	sns.set(context='notebook')
データフレームのポイントプロットを描画する	sns.pointplot(x='カテゴリ列', y='列', hue='カテゴリ列', data=df)
option: 四角印を描画する	marker = 's'
アリスブルー色のヒストグラムを描画する	plt.hist(データ列, color='aliceblue')
日付時刻データが火曜日か調べる	aDatetime.weekday() == 1
散布図の色をローングリーンにする	plt.scatter(データ列x, データ列y, color='lawngreen')
xを文字列に変換する	str(x)
文字列全体を正規表現にマッチさせる	re.fullmatch(pattern, s)
平均線付き箱ひげ図を描く	plt.boxplot(データ列, meanline=True)
配列をビン数nでビニングして、namesのラベルをつける	pd.cut(aArray, n, labels=names)
部分文字列で文字列を二分する	s.partition(sub)
列をn個に分割して、namesのラベルをつける	pd.cut(ds, n, labels=names)
データフレームのある列をリストとして抽出する	df['列A'].values.tolist()
ヒストグラムの色をライトシアンに設定する	plt.hist(データ列, color='lightcyan')
列名を指定してデータフレームをジョインする	pd.merge(df, df2, on='列A')
ランダム性を強化したランダムフォレストでクラス分類をする	model = sklearn.ensemble.ExtraTreeClassifier(n_estimators=10)
データフレームのn行まで抽出する	df[:n]
折れ線グラフを破線で描画する	plt.plot(データ列x, データ列y, linestyle='dashed')
現在の日付時刻	datetime.datetime.now()
マッピングの値を列挙する	aDict.values()
グラフをスライド用に設定する	sns.set(context='talk')
カデットブルー色で横棒グラフを描画する	plt.barh(データ列x, データ列y, color='cadetblue')
赤い折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='r')
散布図にダイアモンドマーカーを用いる	plt.plot(データ列x, データ列y, marker='D')
option: ミッドナイトブルー色を使う	color = 'midnightblue'
option: マーカーを下三角に変える	marker = 'v'
ミディアムバイオレットレッド色として棒グラフを描画する	plt.bar(データ列x, データ列y, color='mediumvioletred')
部分文字列を文字列の接頭辞から取り除く	s.removeprefix(sub)
文字列中の小文字を大文字に変換する	s.upper()
option: グラフの色をシャルトリューズに設定する	color = 'chartreuse'
棒グラフの色をライトグレーにする	plt.bar(データ列x, データ列y, color='lightgray')
option: パープル色を使う	color = 'purple'
文字列内にひとつでもアルファベットが含まれるか調べる	any(c.isalpha() for c in s)
▼マーカーを使って散布図を描画する	plt.scatter(データ列x, データ列y, marker='v')
右三角印としてデータ列の折れ線グラフを描画する	plt.plot(データ列x, データ列y, marker='>')
配列間の要素ごとの最小公倍数	np.lcm(aArray, aArray2)
凡例を表示する	plt.legend()
破線グラフを描画する	plt.plot(データ列x, データ列y, linestyle='dashed')
データフレームの一部のカラムの中に日付データと日付データがいくつ存在するかカウントする	df[['列A', '列B']].isin([value, value2]).sum()
クラス分類の真陽性率を算出する	sklearn.metrics.recall_score(正解データ列, 予測データ列)
ヒストグラムの色をライトコーラルに指定する	plt.hist(データ列, color='lightcoral')
散布図をライトグレー色で描画する	plt.scatter(データ列x, データ列y, color='lightgrey')
ヒストグラムの色をダークターコイズに設定する	plt.hist(データ列, color='darkturquoise')
箱ヒゲ図でデータ列を図示する	plt.boxplot(データ列)
タプルをn倍する	aTuple * n
リストが空	len(aList) == 0
option: インディゴ色を使う	color = 'indigo'
折れ線グラフの色をミディアムスプリンググリーンに指定する	plt.plot(データ列x, データ列y, color='mediumspringgreen')
散布図の菱形マーカーの色を変更する	plt.scatter(データ列x, データ列y, marker='D', markerfacecolor='#800080')
グラフの色を明るくする	sns.set(pallete='bright')
ふたつの集合が集合と互いに素か調べる	aSet.isdisjoint(aSet2)
データフレームを各グループごとに散布図にする	sns.scatterplot(data=df, x='列名', y='列名', hue='カテゴリ列')
option: カデットブルー色を用いる	color = 'cadetblue'
ヒストグラムの色をアクアマリンに変更する	plt.hist(データ列, color='aquamarine')
ミディアムスプリンググリーン色として縦棒グラフを描画する	plt.bar(データ列x, データ列y, color='mediumspringgreen')
データフレームの要約統計量	df.describe()
二つの辞書を階層化する	collections.ChainMap(aDict, aDict2)
散布図の△印を青くする	plt.scatter(データ列x, データ列y, marker='^', markerfacecolor='b')
横棒グラフを貝殻色で描画する	plt.barh(データ列x, データ列y, color='seashell')
ヒストグラムの色を茶色に設定する	plt.hist(データ列, color='brown')
縦棒グラフの色をライトスレイグレーにする	plt.bar(データ列x, データ列y, color='lightslategrey')
ライトスカイブルー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='lightskyblue')
ゴールド色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='gold')
横棒グラフを淡いピンク色色で描画する	plt.barh(データ列x, データ列y, color='lightpink')
ミッドナイトブルー色の折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='midnightblue')
ライトスチールブルー色でヒストグラムを描画する	plt.hist(データ列, color='lightsteelblue')
日付データは日付データより後ろか調べる	aDate > aDate2
ヒストグラムをローングリーン色で描画する	plt.hist(データ列, color='lawngreen')
棒グラフをブラウン色を用いて描画する	plt.bar(データ列x, データ列y, color='brown')
option: マーカーを星に変更する	marker = '*'
カウンタの最も頻出な文字列	aCounter.most_common()[0]
空のリストを作る	[]
散布図に四角マーカーを使う	plt.scatter(データ列x, データ列y, marker='s')
散布図をダークサーモン色で描画する	plt.scatter(データ列x, データ列y, color='darksalmon')
組をリバースする	reversed(aTuple)
データフレームの一部のカラムの統計量を見る	df[['列A', '列B']].describe()
ゴールデンロッド色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='goldenrod')
ヒストグラムの色をダークシアンに指定する	plt.hist(データ列, color='darkcyan')
option: レベッカパープル色を使う	color = 'rebeccapurple'
option: NaNを無視する	nan_policy = 'omit'
option: セパレータを使わない	sep = ''
データフレームの指定したカラムの75パーセンタイル	df['列A'].quantile(0.75)
横棒グラフをコーンフラワーブルー色を用いて描画する	plt.barh(データ列x, データ列y, color='cornflowerblue')
