文字列を複数行対応としてパターンで区切る	re.split(pattern, s, flags=re.MULTILINE)
＜オプション＞グラフの色をスプリンググリーンに設定する	color = 'springgreen'
Pandasのバージョンを確認する	print(pd.__version__)
ダークスラテグレー色のヒストグラムを描画する	plt.hist(データ列, color='darkslategray')
データフレームの重複した行数のマスク	df.duplicated()
データフレームから数値データの列を抽出する	df.select_dtypes('number')
実数の逆正弦	math.asin(x)
折れ線グラフに緑色のバツマーカーを描画する	plt.plot(データ列, データ列2, marker='x', markerfacecolor='g')
文字列を新しい文字列で置き換える	s.replace(sub, newsub)
文字列を積極的に小文字に変換する	s.casefold()
ミディアムブルー色の線グラフを描画する	plt.plot(データ列, データ列2, color='mediumblue')
文字列が正規表現にマッチさせる	re.match(pattern, s)
折れ線グラフを描画して、その色をフクシアに設定する	plt.plot(データ列, データ列2, color='fuchsia')
標準出力を得る	sys.stdout
ベージュ色のヒストグラムを描画する	plt.hist(データ列, color='beige')
オブジェクトがある型	isinstance(obj, クラス)
実数の逆双曲線正接	math.atanh(x)
ヒストグラムの色を白に設定する	plt.hist(データ列, color='white')
データフレームのリストカラムの欠損値を中央値に設定する	df[aList].fillna(df[aList].median())
グラフの描画で明るいカラーパレットを使う	sns.set(pallete='bright')
行列の合計	np.sum(aArray)
ダークマゼンタ色のヒストグラムを描画する	plt.hist(データ列, color='darkmagenta')
ヒストグラムを描画して、その色をレモンシフォンに設定する	plt.hist(データ列, color='lemonchiffon')
一点鎖線ヒストグラムを描画する	plt.hist(データ列, linestyle='dashbot')
＜オプション＞フローラルホワイト色を使う	color = 'floralwhite'
＜オプション＞グラフの色を青緑に指定する	color = 'turquoise'
＜オプション＞グラフの色をパールゴールデンロッドに設定する	color = 'palegoldenrod'
線グラフを描画して色をオリベドラブに設定する	plt.plot(データ列, データ列2, color='olivedrab')
双方向キューが空でないか調べる	len(deq) != 0
ヒストグラムの色を青に設定する	plt.hist(データ列, color='blue')
＜オプション＞ミスティローズ色を使う	color = 'mistyrose'
文字列を部分文字列で分割し、、文字列リストに変換する	s.split(sub)
変数を白色でプリントできる文字列にする	f'\033[37m{value}\033[0m'
全要素を初期値で初期化された行列を作る	np.full((行数, 列数), 初期値, dtype=np.int)
変数を定義する	x = n
折れ線グラフの色をピンクに設定する	plt.plot(データ列, データ列2, color='pink')
ふたつのリストの積集合	list(set(aList) & set(aList2))
＜オプション＞パレットトルコイズにグラフの色を設定する	color = 'paleturquoise'
データフレームのカラムの第一四分位数	df[col].quantile(0.25)
データ列の欠損値を最頻値に設定する	ds.fillna(ds.mode().iloc[0])
ベクトルの演算をする	import numpy as np
タプルの末尾からn番目以前の部分を取り出す	aTuple[:-n]
折れ線グラフを点線で描画する	plt.plot(データ列, データ列2, linestyle='dotted')
現在が何分か知る	datetime.date.today().minute
ヒストグラムを描画して、その色を青紫に設定する	plt.hist(データ列, color='violet')
グラフのフォントを日本語表示に設定する	sns.set(font='IPAexGothic')
タプルの中の最小値	min(aTuple)
リストとリストの淡いグラフを描画して、その色を青にする	plt.plot(xdata, ydata, linestyle='muted', color='b')
文字列を全て小文字に変換する	s.casefold()
実数の小数部	math.modf(x)[0]
リストを横軸と指定して、折れ線グラフを描画する	plt.plot(range(len(xdata)), xdata)
データ列が何時か見る	ds.dt.hour
イテラブルを無限に繰り返す	itertools.cycle(iterable)
線グラフの色をミスティローズに設定する	plt.plot(データ列, データ列2, color='mistyrose')
ヒストグラムを描画して、その色をダークシアンに設定する	plt.hist(データ列, color='darkcyan')
データフレームの欠損値が含まれる箇所に色を付ける	df.style.highlight_null()
折れ線グラフの色を赤くする	plt.plot(データ列, データ列2, color='r')
両端キューの右に要素を追加する	deq.append(element)
グレー色のヒストグラムを描画する	plt.hist(データ列, color='grey')
データ列の欠損値を中央値に設定する	ds.fillna(ds.median())
＜オプション＞グラフの色をゴールドに設定する	color = 'gold'
オブジェクトを文字列に変換する	str(obj)
データフレームを各列と列の組み合わせ毎に集約して最大値を算出する	df.groupby([column, column2], as_index=False).max()
折れ線グラフの色をダークレッドにする	plt.plot(データ列, データ列2, color='darkred')
折れ線グラフを描画して、その色をマルーンに設定する	plt.plot(データ列, データ列2, color='maroon')
ヒストグラムを描画して、その色をオリーブに設定する	plt.hist(データ列, color='olive')
折れ線グラフを描画して、その色をライトグレーに設定する	plt.plot(データ列, データ列2, color='lightgray')
文字列をシアンにする	f'\033[36m{value}\033[0m'
ターコイズ色の線グラフを描画する	plt.plot(データ列, データ列2, color='turquoise')
折れ線グラフに緑色のポイントマーカーを描画する	plt.plot(データ列, データ列2, marker='.', markerfacecolor='g')
データフレームの欠損値を最頻値で埋める	df.fillna(df.mode().iloc[0])
ケンドール相関係数でデータフレームの相関行列	df.corr(method='kendall')
青い暗いグラフを描画する	plt.plot(xdata, ydata, linestyle='dark', color='b')
ヒストグラムを描画して、色をミディアムオーキッドに設定する	plt.hist(データ列, color='mediumorchid')
タプルの要素をソートする	sorted(aTuple)
TSVファイルをSJISで読み込む	pd.read_csv(filename, encoding='shift_jis')
折れ線グラフの色をデピンクに設定する	plt.plot(データ列, データ列2, color='deeppink')
xを浮動小数点数に変換する	float(x)
ヒストグラムを描画して、その色をスレートブルーに指定する	plt.hist(データ列, color='slateblue')
カーキ色の線グラフを描画する	plt.plot(データ列, データ列2, color='khaki')
実数の双曲線余弦	math.cosh(x)
リストとリストの黒い明るいグラフを描画する	plt.plot(xdata, ydata, linestyle='bright', color='k')
x,y,zをそれぞれn,n2,n3とする	x, y, z = n, n2, n3
ライトブルー色の線グラフを描画する	plt.plot(データ列, データ列2, color='lightblue')
ファイルをUTF8で書き込み用に開く]	open(filepath, mode='w', encoding='utf-8')
ダークグレー色のヒストグラムを描画する	plt.hist(データ列, color='darkgray')
＜オプション＞マーカーを星に変更する	marker = '*'
イテラブルを文字列リストに変換して、部分文字列を用いて一つにする	sub.join(map(str, iterable))
実数に実数を加える	x + y
ヒストグラムを描画して半透明化にする	plt.hist(データ列, alpha=0.5)
データフレームの列の各データ値の出現数を算出する	df[col].value_counts()
変数が無限大に近づくときの数式の極限値を求める	sympy.limit(e, z, oo)
集合が空でない	len(aSet) != 0
リストをイミュータブルにする	tuple(aList)
データフレームのカラムがどの程度分散しているか確認する	df[col].var()
リストとイテラブルについての散布図にカラーコードの左三角マーカーを描画する	plt.plot(xdata, ydata, marker='<', c=rgb)
